,date,Yeezy,Off-White,Year,Week Number
0,2017-09-03,26,61,2017,35
1,2017-09-10,41,32,2017,36
2,2017-09-17,67,0,2017,37
3,2017-09-24,54,31,2017,38
4,2017-10-01,53,30,2017,39
5,2017-10-08,26,60,2017,40
6,2017-10-15,55,32,2017,41
7,2017-10-22,53,61,2017,42
8,2017-10-29,53,62,2017,43
9,2017-11-05,51,30,2017,44
10,2017-11-12,100,29,2017,45
11,2017-11-19,83,32,2017,46
12,2017-11-26,83,28,2017,47
13,2017-12-03,24,28,2017,48
14,2017-12-10,24,0,2017,49
15,2017-12-17,27,31,2017,50
16,2017-12-24,26,61,2017,51
17,2017-12-31,48,28,2017,52
18,2018-01-07,25,42,2018,1
19,2018-01-14,36,0,2018,2
20,2018-01-21,24,82,2018,3
21,2018-01-28,23,55,2018,4
22,2018-02-04,23,0,2018,5
23,2018-02-11,46,27,2018,6
24,2018-02-18,23,27,2018,7
25,2018-02-25,25,57,2018,8
26,2018-03-04,82,55,2018,9
27,2018-03-11,73,0,2018,10
28,2018-03-18,49,28,2018,11
29,2018-03-25,74,57,2018,12
30,2018-04-01,0,0,2018,13
31,2018-04-08,37,0,2018,14
32,2018-04-15,25,0,2018,15
33,2018-04-22,80,31,2018,16
34,2018-04-29,25,29,2018,17
35,2018-05-06,53,31,2018,18
36,2018-05-13,0,31,2018,19
37,2018-05-20,0,0,2018,20
38,2018-05-27,55,32,2018,21
39,2018-06-03,27,31,2018,22
40,2018-06-10,27,31,2018,23
41,2018-06-17,28,32,2018,24
42,2018-06-24,57,65,2018,25
43,2018-07-01,28,32,2018,26
44,2018-07-08,54,31,2018,27
45,2018-07-15,42,0,2018,28
46,2018-07-22,26,30,2018,29
47,2018-07-29,26,0,2018,30
48,2018-08-05,0,47,2018,31
49,2018-08-12,0,31,2018,32
50,2018-08-19,43,0,2018,33
51,2018-08-26,0,31,2018,34
52,2018-09-02,26,46,2018,35
53,2018-09-09,51,30,2018,36
54,2018-09-16,64,30,2018,37
55,2018-09-23,0,30,2018,38
56,2018-09-30,50,29,2018,39
57,2018-10-07,25,43,2018,40
58,2018-10-14,52,60,2018,41
59,2018-10-21,37,29,2018,42
60,2018-10-28,39,60,2018,43
61,2018-11-04,87,29,2018,44
62,2018-11-11,39,90,2018,45
63,2018-11-18,57,100,2018,46
64,2018-11-25,25,29,2018,47
65,2018-12-02,25,29,2018,48
66,2018-12-09,26,30,2018,49
67,2018-12-16,27,32,2018,50
68,2018-12-23,97,48,2018,51
69,2018-12-30,0,30,2018,52
70,2019-01-06,38,59,2019,1
71,2019-01-13,63,59,2019,2
72,2019-01-20,49,42,2019,3
73,2019-01-27,50,29,2019,4
74,2019-02-03,24,28,2019,5
75,2019-02-10,25,0,2019,6
76,2019-02-17,48,28,2019,7
